latitude,longitude,rwi
22.2179198,90.3405762,-0.447
25.8097816,88.2312012,-0.515
25.0955481,90.7580566,-0.005
24.537129,91.439209,0.075
22.9685086,91.6589355,-0.476
23.1706634,91.8786621,-0.75
25.6316212,89.6154785,-0.148
23.513626,90.5383301,-0.117
24.7368531,91.1315918,-0.698
26.1061204,88.3850098,-0.276
24.7767595,89.5715332,0.183
23.2110579,89.1540527,0.533
23.1302568,90.9558105,0.347
22.6647094,89.7473145,0.755
22.4008712,89.1320801,-0.056
26.1455758,88.2971191,0.143
26.1455758,89.6813965,0.196
24.2569809,90.3625488,0.116
24.9760991,90.9338379,-0.474
22.6647094,91.1315918,-0.26
23.5740566,90.9118652,0.279
23.029187,91.307373,0.006
22.2789302,89.8352051,0.513
24.2569809,90.6481934,1.071
23.3321679,92.1203613,-0.652
22.1568828,92.4499512,-0.807
22.6038685,90.3186035,-0.233
24.5770993,88.3190918,-0.146
25.1751161,91.2854004,-0.132
23.1100489,90.032959,-0.28
24.4771496,89.0222168,0.38
22.7255234,90.2966309,-0.079
23.3119906,88.7805176,0.255
26.2244465,88.8464355,-0.449
22.4211843,91.7248535,0.11
22.6038685,89.5056152,0.485
25.7899992,88.560791,-0.158
24.6769694,88.8684082,-0.012
23.3119906,90.7800293,0.105
24.5770993,88.9123535,-0.431
22.2179198,90.4943848,-0.239
23.513626,90.8679199,0.786
24.9960153,91.2194824,-0.142
22.2179198,92.4060059,-0.464
25.4531946,89.4177246,-0.435
22.5835822,90.2966309,-0.253
22.0143603,92.5598145,-0.443
23.5539161,89.5056152,0.327
23.1908622,89.9450684,-0.11
24.8764695,91.2194824,0.199
24.7168951,88.8903809,-0.28
24.7568079,88.9782715,0.123
22.4618017,90.0109863,-0.528
22.4414945,90.3186035,-0.425
24.5571158,91.9006348,-0.213
25.908644,88.5388184,-0.045
26.5590496,88.3630371,-0.017
22.3602361,89.1320801,-0.625
25.6118091,89.2199707,0.135
25.4928679,89.4177246,-0.447
24.8166532,91.505127,-0.067
24.5171391,88.9123535,0.118
25.869109,89.5935059,-0.205
23.4733235,89.9450684,0.095
24.9561796,91.3293457,-0.296
22.1975771,90.2526855,-0.701
23.4128467,90.1647949,0.223
24.4771496,88.560791,-0.259
24.7767595,88.7805176,-0.326
25.3142351,89.197998,0.031
24.9561796,89.4616699,-0.466
24.4771496,91.1315918,-0.332
23.1908622,90.098877,0.212
24.3170649,88.7585449,-0.136
24.8365952,90.2966309,-0.57
24.8166532,90.3625488,0.686
22.3195891,89.8571777,0.631
24.9561796,92.4938965,-0.538
24.6170569,88.4289551,-0.123
24.916331,91.8127441,0.827
23.8556976,90.7800293,0.156
21.0332369,92.2521973,0.287
21.9939882,92.0544434,-0.087
26.2244465,88.4509277,-0.565
25.9284066,88.7145996,0.05
23.8155005,91.1975098,0.43
21.8513017,91.8566895,0.214
23.1504616,89.8132324,0.361
22.4618017,89.6154785,0.349
25.433353,89.1320801,-0.26
24.3971326,90.8239746,-0.102
22.6849838,91.0437012,-0.185
24.6570018,91.8566895,0.396
22.6849838,90.4064941,0.128
25.155229,92.010498,-0.014
23.0089639,89.5935059,0.466
23.1706634,89.2419434,0.373
22.9078031,92.3181152,-0.601
26.5000725,88.3410645,0.656
23.8757915,90.5383301,0.322
24.3771204,88.8684082,0.04
23.0089639,91.9006348,0.061
22.8875618,91.8786621,-0.827
24.637031,90.2746582,0.018
23.513626,91.1535645,0.426
22.5227053,91.1755371,-0.485
22.9482765,89.7912598,0.107
25.3738088,89.5935059,-0.06
24.3971326,88.8464355,0.024
23.029187,92.0324707,-0.465
24.8365952,91.7028809,0.082
25.195,90.1647949,0.438
23.069624,89.0002441,0.544
24.2169091,91.1975098,-0.327
25.0358382,88.9562988,-0.504
24.2970401,90.3625488,0.447
24.5770993,91.9226074,-0.32
22.7457888,92.0544434,-0.14
25.2347581,89.2199707,-0.575
23.3725134,88.8024902,0.321
23.1100489,90.098877,-0.682
24.0966182,90.9338379,0.513
23.1100489,90.0769043,-0.272
22.8875618,91.0217285,0.225
24.537129,89.9450684,0.029
22.6444321,92.2961426,-0.551
23.7350688,90.3845215,1.546
23.2514401,90.2746582,0.198
24.2770121,89.7473145,-0.629
25.908644,89.4616699,0.013
24.9561796,90.032959,-0.189
23.6747124,90.1867676,-0.16
23.1706634,90.6481934,0.545
26.1061204,88.9123535,-0.241
24.8964019,89.9890137,0.464
24.637031,89.7473145,-0.276
24.6969338,88.4729004,0.018
24.7767595,88.692627,0.078
24.4771496,89.9230957,0.696
23.5539161,90.670166,0.811
22.2992611,90.2087402,0.135
21.6267923,92.4938965,-0.62
23.7149531,91.0876465,0.469
23.2312505,92.1643066,-0.248
24.4971459,90.1428223,-0.069
26.4017101,88.6047363,-0.166
24.0966182,89.6154785,-0.049
23.4733235,91.1755371,1.181
22.3805551,89.2419434,-0.345
25.0557447,90.3405762,0.806
24.7368531,89.901123,-0.105
25.9876744,88.3630371,0.028
23.7551814,88.7585449,-0.243
25.1353386,89.2858887,-0.376
24.537129,90.4504395,-0.037
24.8565339,90.2307129,-0.067
26.1850178,88.5827637,-0.144
23.8556976,88.6047363,0.469
23.4531676,89.0881348,-0.054
26.1652985,89.1540527,-0.168
24.7568079,89.901123,-0.3
22.9887378,89.0661621,-0.153
23.0089639,91.0656738,0.231
23.8155005,89.5935059,-0.164
22.8065667,91.505127,0.381
23.3523422,88.8903809,-0.18
24.3771204,90.2746582,-0.005
22.5835822,90.2746582,-0.101
23.7551814,90.1428223,0.29
23.7350688,90.4724121,0.793
25.6118091,88.7585449,-0.5
23.7350688,90.670166,0.303
22.9280413,89.8571777,0.064
22.7660511,91.1975098,0.821
24.2569809,90.736084,0.778
24.6570018,92.1862793,0
23.9561359,90.9558105,0.094
24.6769694,88.9562988,-0.216
24.0765587,91.5710449,-0.312
23.049407,88.9782715,0.186
25.2148807,89.2419434,-0.103
25.2148807,89.1760254,-0.541
24.0163614,89.0222168,0.589
23.8155005,89.4836426,-0.039
25.6910376,89.0441895,-0.226
23.2312505,89.967041,0.672
24.5571158,88.3190918,0.026
23.2312505,90.6262207,0.234
24.4171416,88.6486816,0.106
25.0159284,90.5822754,-0.708
24.2369466,90.1208496,-0.073
22.8673176,92.2961426,-0.766
24.9561796,88.560791,-0.146
23.3321679,90.2087402,0.352
24.6969338,89.3737793,-0.445
22.6647094,89.2858887,-0.683
24.1768248,89.5056152,-0.374
23.4733235,89.263916,-0.019
22.7052551,92.4719238,-0.533
24.3571051,91.3513184,-0.318
24.1768248,88.8024902,0.334
26.0074237,88.4729004,-0.125
22.6038685,92.4279785,-0.836
25.9876744,89.1760254,-0.289
22.2585964,90.3186035,0.079
24.6570018,91.6809082,0.258
21.2177003,92.0983887,-0.724
22.4008712,92.4938965,-0.703
23.7953972,89.3737793,0.24
23.3119906,90.6262207,0.051
22.6444321,92.2521973,-0.466
24.7368531,88.6486816,0.002
24.637031,90.3405762,0.069
25.908644,89.4836426,-0.401
22.6241518,91.6369629,0.01
25.1353386,90.9118652,-0.175
23.1100489,89.4616699,-0.196
22.82682,90.4284668,-0.384
24.7368531,90.802002,-0.137
24.0364303,89.2419434,0.706
24.8565339,90.1428223,-0.434
24.2970401,91.0437012,-0.494
23.089838,90.2526855,0.143
24.9960153,88.560791,-0.606
26.1061204,88.7805176,-0.128
23.7551814,90.9118652,-0.24
25.4928679,89.329834,-0.201
24.2569809,91.8127441,-0.254
24.8964019,91.6369629,-0.076
24.6969338,88.6706543,0.286
25.155229,88.5388184,-0.23
24.7168951,90.736084,-0.791
23.049407,91.9006348,-0.062
23.089838,88.9343262,-0.339
23.029187,91.8566895,-0.495
25.6514299,89.7692871,-0.121
26.2441559,88.9343262,0.354
22.8065667,90.802002,-0.329
24.8565339,89.4177246,0.273
25.195,90.032959,-0.257
23.9762142,89.6374512,-0.323
23.2312505,91.4831543,-0.687
26.2835645,88.626709,-0.492
23.4531676,90.1867676,-0.615
26.4607376,88.9782715,0.149
22.1975771,90.5163574,-0.279
22.4618017,92.076416,0.914
24.1567778,89.7253418,-0.228
23.3926816,91.2194824,0.278
24.3771204,91.4172363,0.756
21.5246269,91.9665527,0.395
24.6170569,89.0881348,0.044
23.4733235,90.8898926,-0.103
22.6647094,90.3405762,0.909
25.5126996,89.395752,0.022
24.9561796,89.4396973,-0.039
24.2169091,91.2194824,0.319
23.8757915,90.5822754,0.176
25.0358382,89.0881348,-0.184
23.0089639,89.2858887,-0.667
24.6170569,91.6589355,0.336
22.9078031,90.4724121,0.133
24.9561796,89.967041,0.291
22.4618017,91.1535645,-0.762
22.4211843,92.1643066,-0.194
24.2970401,89.4836426,-0.236
22.9280413,91.4611816,0.374
24.3571051,91.5490723,0.044
25.6712354,89.6374512,-0.113
24.5970797,92.142334,0.274
25.869109,88.7585449,-0.06
24.2169091,91.8347168,-0.199
23.1302568,89.1101074,-0.691
24.1567778,89.0222168,0.291
24.7168951,91.2854004,-0.48
23.4128467,88.8024902,-0.711
22.3195891,90.6921387,-0.46
22.4821059,91.8347168,0.315
22.9685086,91.307373,0.364
23.1302568,89.0222168,0.144
23.9561359,88.9123535,0.316
22.0143603,90.5163574,-0.472
25.8493365,88.494873,-0.203
24.6969338,89.2199707,-0.25
23.2110579,89.8352051,0.221
23.5740566,89.2858887,-0.379
24.4771496,89.7473145,-0.048
23.3119906,90.670166,0.447
23.4934763,88.9562988,-0.463
25.155229,90.5822754,-0.198
22.5227053,90.9338379,-1.074
23.0089639,89.5056152,0.103
22.2992611,91.1315918,0.09
24.7967079,90.670166,-0.359
24.4171416,91.8566895,0.342
24.4171416,91.3293457,-0.634
25.5325281,89.0441895,-0.292
22.0958194,92.2302246,-0.472
24.3971326,90.9558105,-0.535
24.3170649,88.626709,-0.836
24.3170649,88.5388184,-0.263
24.4371475,91.8566895,0.022
25.0159284,91.3293457,-0.489
23.9962894,90.5822754,0.342
25.7702134,89.2419434,0.879
22.8470703,91.7028809,-0.146
25.6118091,88.6047363,-0.479
23.4934763,89.8791504,0.365
23.3321679,91.1755371,-0.072
24.5770993,91.7248535,-0.167
24.1968685,91.4172363,-0.541
25.7702134,88.626709,-0.263
21.5655017,92.1862793,-0.495
24.4371475,89.0222168,-0.004
24.2569809,89.7912598,-0.435
24.7368531,90.7800293,-0.178
22.7052551,90.604248,0.036
24.2369466,90.5163574,0.753
23.1302568,91.2634277,0.251
24.6170569,90.2966309,-0.405
24.6969338,90.5822754,0.322
24.9760991,91.5710449,-0.007
23.4733235,90.604248,0.097
24.1968685,91.7248535,-0.113
22.8673176,91.1755371,0.098
24.8365952,89.3518066,0.963
23.2312505,92.010498,-0.309
24.3571051,88.8024902,0.227
24.0966182,89.2858887,-0.207
22.1772314,90.9777832,-0.795
24.4171416,90.3186035,0.143
22.6241518,91.9665527,-0.47
23.7350688,88.692627,-0.012
23.5941939,90.736084,0.096
22.4414945,90.0549316,-0.481
24.4171416,90.7800293,0.479
23.5941939,88.6706543,-0.576
24.4371475,90.9777832,-0.144
25.0557447,90.5603027,-0.253
24.1768248,88.9343262,-0.277
24.2770121,89.9890137,0.344
23.1100489,89.8352051,-0.305
24.2770121,91.6369629,0.02
23.5941939,89.967041,-0.619
26.3623416,88.5827637,-0.126
23.5337726,89.1320801,-0.21
25.9481659,89.1320801,-0.249
25.3738088,89.0661621,-0.262
22.82682,90.0769043,-0.648
23.6143282,90.3845215,0.187
23.0089639,89.9450684,-0.845
25.2546322,89.7253418,-0.379
23.4733235,89.3737793,-0.447
24.1968685,89.6594238,0.109
23.1302568,90.4284668,-0.27
24.2970401,89.7912598,-0.688
22.4618017,90.3405762,0.265
22.0347295,92.076416,0.244
24.9960153,89.7692871,0.079
24.4171416,88.5388184,-0.058
